%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1546558494365872868,0,1546558494365575949,world,-0.00838019046932,0.0358628891408,0.616466879845,0.0492406263947,0.0590065717697,-0.0212560538203,-0.996815860271
1546558494366005358,1,1546558494365724377,world,-0.0083040446043,0.0358430929482,0.616529464722,0.050939284265,0.0568815432489,-0.0215150602162,-0.996848464012
1546558494375609047,2,1546558494375131762,world,-0.00829648599029,0.0358417034149,0.616798520088,0.0538338460028,0.0583579801023,-0.0220232214779,-0.996599912643
1546558494375689661,3,1546558494375199447,world,-0.00849283579737,0.0358538776636,0.616365611553,0.0499488674104,0.062247812748,-0.0204343423247,-0.996600687504
1546558494385594300,4,1546558494385065491,world,-0.0087062921375,0.0359289832413,0.61612534523,0.0480561479926,0.0678244531155,-0.0190216135234,-0.996357679367
1546558494385677059,5,1546558494385156282,world,-0.00878392998129,0.0360088422894,0.615691721439,0.0344221591949,0.0644772946835,-0.0198457520455,-0.997127830982
1546558494395978209,6,1546558494395595619,world,-0.00880731828511,0.0359795987606,0.615671396255,0.0372874736786,0.066077157855,-0.0189543962479,-0.996937394142
1546558494396014276,7,1546558494395690475,world,-0.00870117917657,0.0360144898295,0.615726172924,0.0306979455054,0.0613402277231,-0.0209753811359,-0.997424185276
1546558494406276735,8,1546558494406002378,world,-0.00874348636717,0.0359595306218,0.615688621998,0.0349821560085,0.063864223659,-0.0196963623166,-0.99715077877
1546558494406419786,9,1546558494406082032,world,-0.00876320060343,0.0359506420791,0.615716159344,0.0386883616447,0.0652901977301,-0.0189864523709,-0.996935367584
1546558494415810018,10,1546558494415433124,world,-0.00880406796932,0.0359953008592,0.615463256836,0.0290495026857,0.0625979676843,-0.0200429931283,-0.997414588928
1546558494415875079,11,1546558494415538381,world,-0.00855025742203,0.0359276086092,0.615930080414,0.0380209423602,0.0588265359402,-0.0210021212697,-0.99732285738
1546558494425103282,12,1546558494424798522,world,-0.00840213987976,0.03588668257,0.616181015968,0.0427797846496,0.0566588118672,-0.0214216448367,-0.997246682644
1546558494425194233,13,1546558494424860223,world,-0.00831100903451,0.035858374089,0.616348028183,0.0460645630956,0.0550803802907,-0.0215590074658,-0.997185766697
1546558494435627809,14,1546558494435194624,world,-0.00831432826817,0.0359395779669,0.616072773933,0.0353312417865,0.050878982991,-0.0225833188742,-0.997824132442
1546558494435679173,15,1546558494435261701,world,-0.00858097616583,0.0359808020294,0.615996420383,0.0396025553346,0.0606698840857,-0.020524257794,-0.997160732746
1546558494445871291,16,1546558494445617863,world,-0.00841826014221,0.0359018445015,0.61625379324,0.0446786470711,0.0577400363982,-0.0213306192309,-0.997103214264
1546558494445985796,17,1546558494445719759,world,-0.00837068445981,0.0358618795872,0.616616606712,0.0497140809894,0.0589828379452,-0.0219288468361,-0.99677914381
1546558494455436896,18,1546558494455066147,world,-0.00842336844653,0.0359450131655,0.616346418858,0.0384562797844,0.0566415600479,-0.0228507257998,-0.997391939163
1546558494455463234,19,1546558494455094790,world,-0.00833596475422,0.0358927212656,0.616474986076,0.0438178516924,0.0555428490043,-0.0226087830961,-0.99723815918
1546558494465537935,20,1546558494465366850,world,-0.00851957406849,0.0358891040087,0.616189360619,0.0439602211118,0.0601991228759,-0.0207588449121,-0.997001826763
1546558494465735998,21,1546558494465425222,world,-0.00838453881443,0.0358601771295,0.616368412971,0.0469887517393,0.057276263833,-0.0212960168719,-0.997024595737
1546558494475967895,22,1546558494475690178,world,-0.00854542199522,0.0358838811517,0.616114854813,0.045834325254,0.0615796707571,-0.0197818242013,-0.996852993965
1546558494476067039,23,1546558494475800138,world,-0.00840009283274,0.0358633324504,0.616311490536,0.0479851365089,0.0583752803504,-0.0207405053079,-0.99692517519
1546558494485290505,24,1546558494485123741,world,-0.00832197442651,0.0358523502946,0.616394639015,0.0488647893071,0.05625044927,-0.0212686937302,-0.996993422508
1546558494485497370,25,1546558494485177729,world,-0.00830501597375,0.0358352921903,0.616694033146,0.0522017590702,0.0580695904791,-0.0219176430255,-0.996705830097
1546558494495635115,26,1546558494495437404,world,-0.0082468111068,0.0358146950603,0.616696357727,0.0524375215173,0.0563268400729,-0.0220910664648,-0.996789693832
1546558494495858204,27,1546558494495492352,world,-0.00822074152529,0.035817079246,0.616661787033,0.0520315505564,0.0552206709981,-0.0221460852772,-0.996871590614
1546558494504847285,28,1546558494504716427,world,-0.00820696167648,0.0358275845647,0.616633117199,0.0516360513866,0.0546827539802,-0.0221809055656,-0.996921122074
1546558494505061926,29,1546558494504798225,world,-0.00844631157815,0.0358636677265,0.616265296936,0.0481414534152,0.0599182620645,-0.0204960815609,-0.996831119061
1546558494515285950,30,1546558494515134418,world,-0.00861918181181,0.0359796620905,0.615780293941,0.0345719046891,0.0594686977565,-0.0206690449268,-0.997417211533
1546558494515425001,31,1546558494515179189,world,-0.00858816038817,0.0360289141536,0.615766346455,0.028094548732,0.0567848682404,-0.0221617408097,-0.997745037079
1546558494525633824,32,1546558494525463538,world,-0.00849050562829,0.0359563231468,0.616283118725,0.0387569405138,0.0586771741509,-0.0225016567856,-0.997270524502
1546558494525691876,33,1546558494525493141,world,-0.00837375689298,0.0359032563865,0.616400718689,0.04341173172,0.056646656245,-0.0224175881594,-0.997198164463
1546558494535909532,34,1546558494535756336,world,-0.0085430778563,0.0359075069427,0.616135656834,0.0434554964304,0.0610101409256,-0.0204353798181,-0.996981322765
