%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1546561951074011773,26,1546561951073720688,world,0.00398926995695,0.0341510288417,0.0230903383344,0.0369883961976,0.00777524430305,-0.00643854821101,-0.999264717102
1546561951074166404,27,1546561951073741681,world,0.0040059061721,0.0341782495379,0.0231439042836,0.036425575614,0.00859888456762,-0.0063562351279,-0.999279141426
1546561951084169017,28,1546561951083935694,world,0.00400309031829,0.0342000201344,0.0232027247548,0.0360113233328,0.00902400072664,-0.00645636254922,-0.999289870262
1546561951084234268,29,1546561951083955791,world,0.00401789788157,0.034209664911,0.0232203602791,0.0357941091061,0.00944704841822,-0.00632437784225,-0.999294519424
1546561951094422106,30,1546561951094166766,world,0.00401863642037,0.0342188663781,0.0232375916094,0.0356256179512,0.00927477516234,-0.00632061949,-0.999302268028
1546561951094465628,31,1546561951094192975,world,0.00400962075219,0.0342244952917,0.0232529044151,0.035544462502,0.00909358914942,-0.0063795261085,-0.999306440353
1546561951103681484,32,1546561951103448577,world,0.00400853343308,0.0342238657176,0.0232508927584,0.0355236418545,0.00916509702802,-0.006404355634,-0.999306321144
1546561951103741103,33,1546561951103469346,world,0.00401087524369,0.0342305339873,0.0232494808733,0.0354513153434,0.009192250669,-0.00638256967068,-0.999308824539
1546561951113946701,34,1546561951113702370,world,0.00401053205132,0.0342277809978,0.0232515968382,0.0355655141175,0.00906732212752,-0.00635288236663,-0.999306082726
1546561951113980719,35,1546561951113730339,world,0.00398387946188,0.0341433212161,0.0231142602861,0.0367916375399,0.00770675204694,-0.00636201398447,-0.999273061752
1546561951124163628,36,1546561951123951906,world,0.00399596430361,0.0341738164425,0.0231613181531,0.0364241711795,0.00842325296253,-0.00632471963763,-0.999280929565
1546561951124200270,37,1546561951123979779,world,0.00399647001177,0.0341933444142,0.0232152119279,0.0359337441623,0.00850322563201,-0.00627107126638,-0.999298334122
1546561951134372779,38,1546561951134197762,world,0.00399945117533,0.0342031270266,0.0232298783958,0.0358779355884,0.0088666761294,-0.00637246714905,-0.999296545982
1546561951134391211,39,1546561951134222371,world,0.00400825217366,0.0342061780393,0.0232334267348,0.0359255038202,0.00912166479975,-0.00630373833701,-0.999292969704
1546561951143664382,40,1546561951143444372,world,0.0040049534291,0.0342186763883,0.0232432577759,0.0357719324529,0.00901164673269,-0.00639831274748,-0.999298930168
1546561951143696864,41,1546561951143470869,world,0.00401353929192,0.0342267639935,0.0232355054468,0.0357304476202,0.00968376453966,-0.00635946774855,-0.999294400215
1546561951153892093,42,1546561951153676307,world,0.00401257304475,0.0342302061617,0.0232394896448,0.035633251071,0.00917452201247,-0.00629671057686,-0.999302983284
1546561951153914975,43,1546561951153704405,world,0.00400576787069,0.0342345908284,0.0232561361045,0.0355064049363,0.0087557816878,-0.00625244248658,-0.999311566353
1546561951164147134,44,1546561951163955061,world,0.00400416599587,0.0342323258519,0.0232595782727,0.0355010963976,0.00908931158483,-0.00629236735404,-0.999308586121
1546561951164200353,45,1546561951164035545,world,0.00401268480346,0.0342350639403,0.0232463087887,0.0356907173991,0.00898247770965,-0.00626656180248,-0.999302864075
1546561951173397200,46,1546561951173189606,world,0.00401409436017,0.0342338345945,0.0232426356524,0.0356809683144,0.00956036429852,-0.00628761295229,-0.999297738075
1546561951173507989,47,1546561951173216359,world,0.00401207152754,0.0342292748392,0.023253088817,0.0355290435255,0.00907679554075,-0.00626688124612,-0.999307870865
1546561951183687506,48,1546561951183483016,world,0.00401889672503,0.0342268496752,0.0232430752367,0.0356546081603,0.0097795734182,-0.00625901063904,-0.999296784401
1546561951183799991,49,1546561951183534123,world,0.00402422808111,0.034232608974,0.023250201717,0.0355438627303,0.00938140228391,-0.00614694878459,-0.99930524826
1546561951193925042,50,1546561951193753770,world,0.00402195798233,0.0342335402966,0.0232476219535,0.0355546697974,0.00898336898535,-0.0061705536209,-0.999308347702
1546561951194081785,51,1546561951193812909,world,0.00401188246906,0.0342378616333,0.0232380460948,0.0357641763985,0.00894616823643,-0.00630049500614,-0.99930036068
1546561951204225045,52,1546561951204049548,world,0.00401054369286,0.0342389009893,0.0232441220433,0.0356521122158,0.00930818449706,-0.00632123183459,-0.999300956726
1546561951204322105,53,1546561951204097871,world,0.0040065520443,0.0342299342155,0.0232405886054,0.0356550402939,0.00907084718347,-0.00632673781365,-0.999302983284
1546561951213499815,54,1546561951213324159,world,0.00400927523151,0.0342276059091,0.023245325312,0.0356448888779,0.00938316620886,-0.00633555557579,-0.999300479889
1546561951213576555,55,1546561951213367297,world,0.00400665635243,0.0342301130295,0.02325017564,0.035617839545,0.00941894762218,-0.00634030019864,-0.999301075935
1546561951223766953,56,1546561951223584576,world,0.00400615809485,0.034227091819,0.0232415366918,0.0357772558928,0.00937984976918,-0.00629663234577,-0.999295949936
1546561951223833804,57,1546561951223625026,world,0.00400125095621,0.0342190749943,0.0232519134879,0.0356379859149,0.00931908749044,-0.00633370829746,-0.999301314354
1546561951234046379,58,1546561951233836833,world,0.00400093244389,0.034217402339,0.0232619829476,0.0355567783117,0.00924346037209,-0.00635409122333,-0.999304771423
1546561951234074028,59,1546561951233889475,world,0.00400597648695,0.0342172160745,0.0232377275825,0.035710375756,0.0094861490652,-0.00636973278597,-0.99929690361
1546561951244412752,60,1546561951244174341,world,0.0040076803416,0.0342124775052,0.0232389364392,0.0356005616486,0.00953601673245,-0.00635890755802,-0.999300479889
1546561951244462483,61,1546561951244235880,world,0.00400533294305,0.0342228598893,0.0232505518943,0.035558078438,0.00955937989056,-0.00639081886038,-0.999301552773
1546561951253819401,62,1546561951253504027,world,0.00400775903836,0.0342284105718,0.0232411585748,0.035509403795,0.00918932352215,-0.00636455882341,-0.999306917191
1546561951253853899,63,1546561951253543420,world,0.00400816462934,0.0342382490635,0.0232603363693,0.0354028716683,0.00915291160345,-0.00639045890421,-0.999310851097
1546561951264105996,64,1546561951263825310,world,0.00400827685371,0.03423416242,0.0232606958598,0.035471316427,0.00863848719746,-0.006329766009,-0.999313354492
1546561951264177999,65,1546561951263900706,world,0.00400873180479,0.0342391654849,0.0232457108796,0.0355192907155,0.00893000327051,-0.00633393973112,-0.999309062958
1546561951274656282,66,1546561951274216389,world,0.00400479789823,0.0342322662473,0.0232419539243,0.0356315821409,0.00864217896014,-0.00641087815166,-0.999307155609
