%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1546557915106160338,0,1546557915105557117,world,-0.0131830973551,0.0374049246311,0.617358207703,0.0278872810304,-0.0162770710886,-0.00348384655081,-0.999472439289
1546557915125772851,1,1546557915125203839,world,-0.0133959846571,0.0379502959549,0.617876827717,0.0210654418916,-0.0464611276984,-0.00656522391364,-0.998676359653
1546557915125812916,2,1546557915125359620,world,-0.0134880077094,0.0382080338895,0.618097901344,0.0182152781636,-0.0601496249437,-0.0078654140234,-0.997992157936
1546557915135139252,3,1546557915134671780,world,-0.0134767387062,0.0382088050246,0.618089139462,0.0182872023433,-0.0595645979047,-0.00782954320312,-0.998026192188
1546557915145764608,4,1546557915145274479,world,-0.0134717645124,0.0381907783449,0.618070185184,0.018507571891,-0.0589968264103,-0.00766465160996,-0.998057126999
1546557915165204059,5,1546557915164909457,world,-0.0134736159816,0.038158107549,0.618052482605,0.0189577713609,-0.058015063405,-0.00754786236212,-0.998107135296
1546557915165563719,6,1546557915165240284,world,-0.0134689118713,0.0381465703249,0.618036806583,0.0190931148827,-0.056971013546,-0.00752213317901,-0.998164951801
1546557915175899177,7,1546557915175553598,world,-0.0134607236832,0.0381322205067,0.61802905798,0.0192186422646,-0.0564014613628,-0.00743926689029,-0.998195469379
1546557915175972172,8,1546557915175677666,world,-0.0134582268074,0.0381031893194,0.618017733097,0.0193563476205,-0.0559574589133,-0.0072947437875,-0.9982188344
1546557915176028462,9,1546557915175706947,world,-0.0134659064934,0.0381002426147,0.618025720119,0.0193837787956,-0.0559131242335,-0.00723325368017,-0.998221337795
1546557915195558316,10,1546557915195353765,world,-0.0134549522772,0.0380828231573,0.618015348911,0.0195265617222,-0.0549732483923,-0.0071520768106,-0.998271286488
1546557915205148852,11,1546557915204669988,world,-0.0134471459314,0.0380814261734,0.618004441261,0.0195703823119,-0.0549456253648,-0.00713058188558,-0.998272061348
1546557915205210071,12,1546557915204788264,world,-0.0134546998888,0.0380835272372,0.618022799492,0.0195065047592,-0.0558895692229,-0.00705192377791,-0.998221516609
1546557915215362643,13,1546557915215139659,world,-0.0134477000684,0.038083974272,0.618013679981,0.0194599367678,-0.0549755841494,-0.00717477500439,-0.998272299767
1546557915215403412,14,1546557915215203181,world,-0.0134466569871,0.0380678661168,0.617996752262,0.0194667838514,-0.0544074364007,-0.00717825489119,-0.998303294182
1546557915225906684,15,1546557915225583697,world,-0.0134569108486,0.0380583256483,0.61800134182,0.0195818282664,-0.0548503696918,-0.00714952964336,-0.998277008533
1546557915235098807,16,1546557915234858031,world,-0.0134571781382,0.0380573607981,0.617990255356,0.0197212342173,-0.0541073456407,-0.00719639239833,-0.99831444025
1546557915245492092,17,1546557915245208114,world,-0.0134471626952,0.03806874156,0.61798375845,0.0198375005275,-0.0536477863789,-0.00714265322313,-0.998337328434
1546557915255818750,18,1546557915255578870,world,-0.0134411146864,0.0380773246288,0.617982804775,0.0198423005641,-0.0538832768798,-0.00707187363878,-0.998325049877
1546557915265372486,19,1546557915265056635,world,-0.0134351961315,0.0380699709058,0.617985725403,0.0198458004743,-0.0541223287582,-0.00697326799855,-0.998312711716
1546557915275729705,20,1546557915275514849,world,-0.0134245716035,0.0380696691573,0.617986559868,0.0199266076088,-0.0534908436239,-0.00705053284764,-0.998344659805
1546557915285352851,21,1546557915284974150,world,-0.0134318843484,0.0380635969341,0.617994010448,0.0198629628867,-0.0538241267204,-0.00703970110044,-0.998328030109
1546557915285385748,22,1546557915285040168,world,-0.0134481266141,0.0380694270134,0.61801046133,0.0197493545711,-0.0547689199448,-0.00697756465524,-0.998279333115
1546557915295800985,23,1546557915295439181,world,-0.0134535869583,0.0380780622363,0.618009626865,0.019774639979,-0.0553390197456,-0.00698204850778,-0.998247385025
1546557915295912989,24,1546557915295474766,world,-0.0134480400011,0.0380757190287,0.618002951145,0.0197806041688,-0.0545908771455,-0.00701374933124,-0.998288273811
1546557915315644833,25,1546557915315306038,world,-0.0134454397485,0.0380752906203,0.617987155914,0.0198342688382,-0.0540218316019,-0.00707897963002,-0.998317718506
1546557915325203881,26,1546557915324891870,world,-0.0134462779388,0.0380835309625,0.617983102798,0.0197436269373,-0.0546249412,-0.00702384253964,-0.998287022114
1546557915335591181,27,1546557915335292099,world,-0.0134460283443,0.0380788743496,0.617996454239,0.0196499712765,-0.0551807694137,-0.00700369849801,-0.998258471489
1546557915355414101,28,1546557915354913316,world,-0.013445597142,0.0380610786378,0.618005335331,0.0197107717395,-0.0556420646608,-0.00699874619022,-0.998231709003
1546557915365506127,29,1546557915365240966,world,-0.0134393339977,0.0380643829703,0.617994248867,0.0197164155543,-0.0546723268926,-0.00704983901232,-0.998284816742
1546557915385175186,30,1546557915384886568,world,-0.0134387230501,0.0380711778998,0.617994070053,0.0197444241494,-0.0538334921002,-0.00715817976743,-0.998329102993
1546557915395502772,31,1546557915395278572,world,-0.0134514290839,0.0380779020488,0.618001997471,0.019681269303,-0.0549333170056,-0.00711704324931,-0.998270690441
1546557915395531093,32,1546557915395326702,world,-0.0134547566995,0.0380779504776,0.617992937565,0.0197267383337,-0.0549205802381,-0.00712427450344,-0.998270511627
1546557915404767409,33,1546557915404556970,world,-0.0134600782767,0.0380860082805,0.617995977402,0.019747460261,-0.0551483258605,-0.00712920119986,-0.998257517815
